@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-49,51'

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute damerau numeric
@attribute dice numeric
@attribute hamming numeric
@attribute classe {true,false}

@data
10,13,3,3,12,1,8,true
5,6,1,1,5,1,2,false
10,5,-5,5,9,1,7,false
4,4,0,0,4,1,4,true
14,4,-10,10,13,1,12,true
14,8,-6,6,14,1,14,true
8,2,-6,6,8,1,7,false
7,4,-3,3,7,1,7,true
5,7,2,2,7,1,5,true
12,6,-6,6,11,1,11,true
3,4,1,1,2,1,1,false
6,6,0,0,4,1,4,false
6,5,-1,1,6,1,5,true
6,8,2,2,8,1,6,true
5,7,2,2,7,1,5,true
10,5,-5,5,10,1,10,true
4,6,2,2,3,1,2,false
6,6,0,0,6,1,3,false
3,3,0,0,1,1,1,false
2,2,0,0,0,?,1,false
2,3,1,1,2,1,1,true
8,3,-5,5,7,1,7,false
13,10,-3,3,13,1,11,true
11,9,-2,2,10,1,9,true
5,6,1,1,2,0.428571,2,false
3,4,1,1,4,1,3,true
9,8,-1,1,8,1,5,false
4,3,-1,1,2,1,2,false
9,6,-3,3,8,1,7,true
6,6,0,0,6,1,3,false
11,7,-4,4,10,1,8,false
14,4,-10,10,14,1,12,false
8,8,0,0,8,1,5,false
13,13,0,0,13,1,10,true
5,6,1,1,3,0.714286,1,false
7,7,0,0,7,1,6,true
10,8,-2,2,10,1,8,true
1,1,0,0,1,?,1,true
6,7,1,1,6,1,3,false
10,12,2,2,8,1,5,false
9,7,-2,2,8,1,8,true
14,16,2,2,15,1,9,true
1,1,0,0,0,?,0,false
4,6,2,2,5,1,3,true
10,13,3,3,7,0.894737,6,false
10,10,0,0,10,1,10,true
10,11,1,1,6,0.647059,3,false
10,8,-2,2,7,0.714286,5,false
1,1,0,0,0,?,0,false
12,3,-9,9,12,1,12,true
5,3,-2,2,4,1,4,false
4,5,1,1,5,1,4,true
14,12,-2,2,14,1,13,true
3,3,0,0,3,1,3,true
12,13,1,1,13,1,11,true
8,10,2,2,10,1,7,true
7,4,-3,3,6,1,6,true
4,4,0,0,2,0.5,1,false
3,3,0,0,1,1,1,false
8,9,1,1,7,1,4,false
8,11,3,3,7,1,1,false
10,8,-2,2,9,1,7,false
10,7,-3,3,8,1,7,false
2,3,1,1,1,1,0,false
11,10,-1,1,11,1,8,true
11,6,-5,5,10,1,9,false
4,1,-3,3,3,1,3,false
9,12,3,3,9,1,3,false
7,8,1,1,5,1,4,false
12,4,-8,8,12,1,12,true
4,5,1,1,2,1,1,false
13,6,-7,7,9,0.866667,8,false
4,4,0,0,4,1,3,false
5,4,-1,1,5,1,5,true
12,7,-5,5,12,1,11,true
14,8,-6,6,12,1,11,false
14,7,-7,7,11,1,10,false
2,3,1,1,1,1,0,false
9,7,-2,2,4,0.5,4,false
12,3,-9,9,12,1,12,true
13,18,5,5,12,0.925926,5,false
10,7,-3,3,7,1,6,false
