@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-37,45-53-weka.filters.unsupervised.attribute.Remove-R5-11'

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute classe {true,false}

@data
10,13,3,3,true
5,6,1,1,false
10,5,-5,5,false
4,4,0,0,true
14,4,-10,10,true
14,8,-6,6,true
8,2,-6,6,false
7,4,-3,3,true
5,7,2,2,true
12,6,-6,6,true
3,4,1,1,false
6,6,0,0,false
6,5,-1,1,true
6,8,2,2,true
5,7,2,2,true
10,5,-5,5,true
4,6,2,2,false
6,6,0,0,false
3,3,0,0,false
2,2,0,0,false
2,3,1,1,true
8,3,-5,5,false
13,10,-3,3,true
11,9,-2,2,true
5,6,1,1,false
3,4,1,1,true
9,8,-1,1,false
4,3,-1,1,false
9,6,-3,3,true
6,6,0,0,false
11,7,-4,4,false
14,4,-10,10,false
8,8,0,0,false
13,13,0,0,true
5,6,1,1,false
7,7,0,0,true
10,8,-2,2,true
1,1,0,0,true
6,7,1,1,false
10,12,2,2,false
9,7,-2,2,true
14,16,2,2,true
1,1,0,0,false
4,6,2,2,true
10,13,3,3,false
10,10,0,0,true
10,11,1,1,false
10,8,-2,2,false
1,1,0,0,false
12,3,-9,9,true
5,3,-2,2,false
4,5,1,1,true
14,12,-2,2,true
3,3,0,0,true
12,13,1,1,true
8,10,2,2,true
7,4,-3,3,true
4,4,0,0,false
3,3,0,0,false
8,9,1,1,false
8,11,3,3,false
10,8,-2,2,false
10,7,-3,3,false
2,3,1,1,false
11,10,-1,1,true
11,6,-5,5,false
4,1,-3,3,false
9,12,3,3,false
7,8,1,1,false
12,4,-8,8,true
4,5,1,1,false
13,6,-7,7,false
4,4,0,0,false
5,4,-1,1,true
12,7,-5,5,true
14,8,-6,6,false
14,7,-7,7,false
2,3,1,1,false
9,7,-2,2,false
12,3,-9,9,true
13,18,5,5,false
10,7,-3,3,false
5,4,-1,1,true
9,8,-1,1,true
9,6,-3,3,true
1,1,0,0,false
5,7,2,2,false
4,6,2,2,false
8,4,-4,4,true
8,12,4,4,false
2,2,0,0,true
2,3,1,1,true
9,6,-3,3,true
11,8,-3,3,false
4,1,-3,3,false
1,1,0,0,false
