@relation words-weka.filters.unsupervised.attribute.Remove-R51

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute comProbabilityChar0Dist0 numeric
@attribute comProbabilityChar0Dist0DivWord2Length numeric
@attribute comProbabilityCharMDist0 numeric
@attribute comProbabilityChar0DistM numeric
@attribute comProbabilityCharMDistM numeric
@attribute comWeightedTotalProbabilityDist0 numeric
@attribute comWeightedTotalProbabilityDist1 numeric
@attribute comWeightedTotalProbabilityDistM numeric
@attribute comWeightedTotalProbability numeric
@attribute comNormWeightedTotalProbability numeric
@attribute comWeightedTotalProbability(WTPS)DivWord1Length numeric
@attribute comWeightedTotalProbability(WTPS)DivWord2Length numeric
@attribute comWeightedTotalProbability(WTPS)Div numeric
@attribute comMagicalColumnDiv(COD) numeric
@attribute comMagicalColumnDiv2(COD) numeric
@attribute rlmMclcs numeric
@attribute rlmNormMclcs numeric
@attribute rlmTotalLength(SO_ou_RLMSO) numeric
@attribute rlmNormTotalLength(SO_ou_RLMSO_div) numeric
@attribute rlmTotalLength(SO_ou_RLMSO)DivWord2Length numeric
@attribute rlmTotalLength(WSO_ou_RLMWSO)Weighted numeric
@attribute rlmTotalLengthWeightedInv numeric
@attribute rlmMaxLengthOccurrences(MO) numeric
@attribute rlmMaxLength(MORL) numeric
@attribute rlmMinLengthMaxOccurrences(MLMO) numeric
@attribute rlmMaxOccurrencesMinLength(MOML) numeric
@attribute mi0 numeric
@attribute mi1 numeric
@attribute mi2 numeric
@attribute mi3 numeric
@attribute mi4 numeric
@attribute meanMI numeric
@attribute weightedMeanMI numeric
@attribute wmi0 numeric
@attribute wmi1 numeric
@attribute wmi2 numeric
@attribute wmi3 numeric
@attribute wmi4 numeric
@attribute meanWMI numeric
@attribute weightedMeanWMI numeric
@attribute nlcs numeric
@attribute mclcs00 numeric
@attribute mclcs01 numeric
@attribute mclcsLength/2Length/2 numeric
@attribute nmclcs numeric
@attribute damerau numeric
@attribute levenshtein numeric
@attribute dice numeric
@attribute hamming numeric
@attribute classe {true,false}

@data
10,13,3,3,0,0,0,0,0,-9,-10,-10,-129,128.007692,-12.9,-9.923077,-129,6,1,1,0.007692,3,0.069231,0.230769,3,3,3,1,1,3,2.163956,2.163956,2.163956,2.163956,2.23327,2.00504,6.399742,1.197107,1.081978,1.081978,1.081978,1.116635,1.020302,3.323942,0.030769,1,0,0,0.007692,12,12,1,8,true
5,6,1,1,0,0,0,0,1,-3,-2,-3,-16,8.533333,-3.2,-2.666667,-16,3,2,1,0.033333,3,0.3,0.5,3,3,3,1,1,3,1.609438,1.609438,1.609438,1.609438,1.609438,1.341198,3.674883,0.804719,0.965663,0.965663,0.804719,0.804719,0.724247,1.971561,0.3,0,1,0,0.033333,5,5,1,2,false
10,5,-5,5,0,0,0,0,0,-2,-2,-1,-9,1.62,-0.9,-1.8,-9,3,1,1,0.02,3,0.18,0.6,3,3,3,1,1,3,1.609438,1.609438,1.609438,1.609438,1.609438,1.341198,3.674883,0.804719,0.804719,0.804719,0.965663,0.965663,0.724247,1.909866,0.18,0,0,1,0.02,9,9,1,7,false
4,4,0,0,0,0,0,0,0,-4,-4,-4,-16,16,-4,-4,-16,0,0,0,0,0,0,0,0,0,0,0,2147483647,-2147483648,1.386294,1.386294,1.386294,1.386294,1.386294,1.109036,2.888113,0.693147,0.693147,0.693147,0.693147,0.693147,0.554518,1.444057,0,0,0,0,0,4,4,1,4,true
14,4,-10,10,0,0,0,0,0,-2,-2,-2,-7,0.875,-0.5,-1.75,-7,4,1,1,0.017857,2,0.071429,0.5,2,2,2,1,1,2,1.386294,1.386294,1.386294,1.386294,1.386294,1.109036,2.888113,0.693147,0.693147,0.693147,0.693147,0.693147,0.554518,1.444057,0.071429,0,0,0,0.017857,13,13,1,12,true
14,8,-6,6,0,0,0,0,0,-8,-8,-8,-64,36.571429,-4.571429,-8,-64,0,0,0,0,0,0,0,0,0,0,0,2147483647,-2147483648,1.992798,2.079441,2.079441,1.992798,1.992798,1.732868,5.416656,0.996399,1.039721,1.039721,0.996399,0.996399,0.866434,2.708328,0,0,0,0,0,14,14,1,14,true
8,2,-6,6,0,0,0,0,0,-1,0,0,-1,0.0625,-0.125,-0.5,-1,3,1,1,0.0625,1,0.0625,0.5,1,1,1,1,1,1,0.346574,0.346574,0.693147,0.693147,0.346574,0.231049,0.51986,0.173287,0.173287,0.346574,0.346574,0.173287,0.115525,0.25993,0.0625,0,1,0,0.0625,8,8,1,7,false
7,4,-3,3,0,0,0,0,0,-4,-4,-4,-16,9.142857,-2.285714,-4,-16,0,0,0,0,0,0,0,0,0,0,0,2147483647,-2147483648,1.213008,1.213008,1.213008,1.039721,1.213008,0.935749,2.483777,0.606504,0.606504,0.606504,0.51986,0.606504,0.467874,1.241889,0,0,0,0,0,7,7,1,7,true
5,7,2,2,0,0,0,0,0,-7,-7,-7,-49,68.6,-9.8,-7,-49,0,0,0,0,0,0,0,0,0,0,0,2147483647,-2147483648,1.609438,1.609438,1.609438,1.609438,1.609438,1.341198,3.674883,0.804719,0.804719,0.804719,0.804719,0.804719,0.670599,1.837442,0,0,0,0,0,7,7,1,5,true
12,6,-6,6,0,0,0,0,0,-5,-5,-5,-30,12.5,-2.5,-5,-30,0,0,1,0.013889,1,0.013889,0.166667,1,1,1,1,1,1,1.791759,1.791759,1.791759,1.676235,1.676235,1.486283,4.318571,0.89588,0.89588,0.89588,0.838117,0.838117,0.764472,2.184171,0.013889,0,0,0,0.013889,11,11,1,11,true
