@relation InstanceResultListener

@attribute Key_Dataset {words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,'words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-30,38-53','words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-37,45-53'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.trees.REPTree,weka.classifiers.trees.RandomForest,weka.classifiers.trees.HoeffdingTree,weka.classifiers.functions.RBFNetwork,weka.classifiers.lazy.IBk,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.trees.LMT,weka.classifiers.rules.DecisionTable,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'','-M 15 -V 1.0E-10 -N 5 -S 1 -L -1 -I 0.0','-I 31 -K 0 -S 1 -num-slots 1','-L 2 -S 1 -E 1.0E-10 -H 0.05 -M 0.01 -G 100.0 -N 0.0','-B 8 -S 1 -R 1.0E-10 -M -1 -W 0.1','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-L 0.7 -M 0.2 -N 250 -V 0 -S 0 -E 20 -H a','-I -1 -M 15 -W 0.0','-X 9 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"'}
@attribute Key_Scheme_version_ID {48055541465867954,-9216785998198681299,1116839470751428698,7117521775722396251,-3669814959712675720,-3080186098777067172,-5990607817048210779,-1113212459618104943,2888557078165701326,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureOutOfBagError numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.031,0,0.03125,0,31.25,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.03,0.004,0.015625,0.015625,15.625,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.007,0.016,0.015625,0.015625,15.625,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.021,0.005,0.03125,0,31.25,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.01,0.016,0,0.015625,0,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.027,0.004,0.03125,0,31.25,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.016,0,0.015625,0,15.625,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.025,0.005,0.03125,0,31.25,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5017,4983,0,50.17,49.83,0,0,0.499995,0.499997,100,100,9999.91684,9999.91684,0,0.999992,0.999992,0,0,0,0,1,5017,1,4983,0,0,0,0,0.5017,1,0.668176,0,0.5,0.5017,0.5017,0.5017,0.4983,0.4983,0.251703,0.5017,0.335224,0,0.5,0.500006,0.334088,0.5017,0.016,0.016,0.015625,0.015625,15.625,15.625,888,6211384,691384,100,100,?,?,?,?,?
