@relation words-weka.filters.unsupervised.attribute.Remove-R5-49

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute damerau numeric
@attribute levenshtein numeric
@attribute dice numeric
@attribute hamming numeric
@attribute classe {true,false}

@data
139,19,-120,120,122,122,0.831169,125,false
142,109,-33,33,128,128,1,100,true
180,150,-30,30,132,132,0.91411,126,false
5,5,0,0,0,0,0,0,false
31,32,1,1,31,31,1,24,true
192,56,-136,136,151,151,0.688525,157,false
169,97,-72,72,151,151,1,127,true
179,50,-129,129,129,129,0.573333,146,false
89,55,-34,34,34,34,0.242857,55,false
181,188,7,7,11,11,0.041096,127,false
111,93,-18,18,26,26,0.15,65,false
87,72,-15,15,57,57,0.858065,44,false
163,72,-91,91,145,145,0.991342,123,true
114,79,-35,35,102,102,1,79,true
117,65,-52,52,63,63,0.370787,79,false
101,95,-6,6,6,6,0.03125,57,false
134,52,-82,82,84,84,0.494505,102,false
76,24,-52,52,56,56,0.625,56,false
167,68,-99,99,151,151,1,123,true
161,40,-121,121,121,121,0.614213,133,false
178,58,-120,120,160,160,1,145,true
51,25,-26,26,26,26,0.361111,30,false
137,138,1,1,94,94,0.859779,86,false
156,143,-13,13,18,18,0.084746,104,false
168,58,-110,110,153,153,1,130,true
49,49,0,0,0,0,0,13,false
182,98,-84,84,162,162,1,133,true
36,38,2,2,17,18,0.685714,8,false
156,102,-54,54,140,140,1,111,true
28,29,1,1,13,14,0.773585,7,false
5,5,0,0,3,3,1,1,false
25,25,0,0,6,6,0.347826,6,false
49,47,-2,2,46,46,1,29,true
178,91,-87,87,158,158,1,132,true
72,66,-6,6,67,67,1,45,true
164,52,-112,112,149,149,1,134,true
39,35,-4,4,4,4,0.057143,12,false
121,122,1,1,14,14,0.062762,74,false
94,35,-59,59,88,88,1,71,true
162,81,-81,81,145,145,1,118,true
77,45,-32,32,54,54,0.915254,45,false
56,44,-12,12,12,12,0.125,24,false
103,92,-11,11,96,96,1,66,true
90,84,-6,6,53,54,0.870588,44,false
126,98,-28,28,28,28,0.127273,78,false
199,98,-101,101,177,177,0.993174,155,true
2,2,0,0,0,0,?,0,false
17,17,0,0,17,17,1,16,true
49,36,-13,13,16,16,0.209877,25,false
147,117,-30,30,130,130,1,102,true
168,48,-120,120,148,149,1,136,true
192,163,-29,29,177,177,1,146,true
33,33,0,0,33,33,1,17,true
131,44,-87,87,87,87,0.508772,104,false
121,52,-69,69,107,107,1,90,true
12,12,0,0,12,12,1,11,true
116,106,-10,10,109,109,1,79,true
115,18,-97,97,109,109,1,101,true
181,93,-88,88,106,106,0.414815,141,false
60,35,-25,25,43,44,0.89011,35,false
195,129,-66,66,170,170,1,148,true
