@relation words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-49

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute damerau numeric
@attribute levenshtein numeric
@attribute dice numeric
@attribute hamming numeric
@attribute classe {true,false}

@data
200,18,-182,182,190,190,1,187,false
176,22,-154,154,165,165,1,156,true
52,44,-8,8,39,39,0.934783,27,false
9,7,-2,2,8,8,1,7,true
86,11,-75,75,81,81,1,78,true
133,1,-132,132,132,132,1,132,true
159,19,-140,140,150,150,1,143,true
167,1,-166,166,166,166,1,166,true
157,1,-156,156,156,156,1,156,false
185,23,-162,162,173,173,1,167,false
60,45,-15,15,55,55,1,37,true
65,41,-24,24,58,58,1,45,true
170,46,-124,124,156,156,1,136,true
115,17,-98,98,106,106,1,102,true
41,5,-36,36,39,39,1,38,false
159,1,-158,158,158,158,1,158,false
179,21,-158,158,168,168,1,161,false
197,22,-175,175,185,185,1,181,false
162,1,-161,161,161,161,1,161,true
42,36,-6,6,37,37,1,27,true
142,16,-126,126,134,134,1,128,true
152,22,-130,130,141,141,1,136,true
70,11,-59,59,67,67,1,63,true
166,26,-140,140,157,157,1,146,false
60,37,-23,23,48,48,1,39,false
164,23,-141,141,154,154,1,145,false
9,10,1,1,10,10,1,7,true
71,20,-51,51,65,65,1,59,true
151,16,-135,135,144,144,1,136,true
7,8,1,1,4,5,1,1,false
119,19,-100,100,111,111,1,107,true
96,21,-75,75,89,89,1,81,true
182,27,-155,155,169,169,1,162,true
103,24,-79,79,92,92,1,85,false
87,1,-86,86,86,86,1,86,false
132,21,-111,111,124,124,1,119,true
94,10,-84,84,90,90,1,89,true
117,31,-86,86,109,109,1,95,true
139,2,-137,137,137,137,1,137,false
77,10,-67,67,74,74,1,72,true
33,17,-16,16,30,30,1,28,true
169,22,-147,147,158,158,1,151,true
104,1,-103,103,103,103,1,103,true
51,22,-29,29,47,47,1,42,true
96,15,-81,81,89,89,1,85,true
192,1,-191,191,191,191,1,191,true
35,12,-23,23,34,34,1,32,true
18,14,-4,4,16,16,0.785714,7,false
24,20,-4,4,11,11,0.4,8,false
108,20,-88,88,102,102,1,95,true
47,5,-42,42,44,44,1,44,false
74,27,-47,47,64,64,0.958763,57,false
142,20,-122,122,135,135,1,125,true
25,1,-24,24,24,24,1,24,false
162,1,-161,161,161,161,1,161,false
176,1,-175,175,176,176,1,176,false
22,5,-17,17,18,18,0.913043,17,false
161,22,-139,139,152,152,1,148,true
128,26,-102,102,117,117,0.973333,110,false
119,1,-118,118,118,118,1,118,true
37,20,-17,17,29,29,0.924528,22,false
130,1,-129,129,129,129,1,129,false
100,6,-94,94,96,96,1,94,true
176,16,-160,160,166,166,1,162,false
44,16,-28,28,38,38,1,31,false
178,1,-177,177,177,177,1,177,false
27,6,-21,21,26,26,1,24,false
68,2,-66,66,66,66,1,66,false
93,12,-81,81,87,87,1,82,false
150,3,-147,147,147,147,1,147,true
111,10,-101,101,106,106,1,103,true
114,46,-68,68,102,102,1,84,true
15,14,-1,1,15,15,1,11,true
65,9,-56,56,61,61,1,58,false
190,1,-189,189,189,189,1,189,true
131,14,-117,117,122,122,1,122,true
12,9,-3,3,8,9,1,6,false
14,11,-3,3,12,12,0.904762,4,false
56,13,-43,43,50,50,1,48,false
61,43,-18,18,55,55,1,41,true
16,16,0,0,15,15,1,12,true
159,21,-138,138,151,151,1,148,true
70,13,-57,57,64,64,1,61,true
81,27,-54,54,71,71,1,61,true
124,13,-111,111,117,117,1,113,true
150,14,-136,136,142,142,1,138,true
121,14,-107,107,112,112,1,107,true
194,17,-177,177,184,184,1,179,true
30,27,-3,3,29,29,1,18,true
180,1,-179,179,179,179,1,179,false
33,16,-17,17,31,31,1,30,true
176,15,-161,161,168,168,1,165,true
76,12,-64,64,67,67,0.928571,68,false
71,17,-54,54,65,65,1,56,false
138,22,-116,116,126,126,1,126,false
110,19,-91,91,104,104,1,96,true
193,39,-154,154,177,177,1,165,false
150,1,-149,149,149,149,1,149,true
24,21,-3,3,16,16,1,9,false
62,11,-51,51,57,57,1,52,false
174,1,-173,173,173,173,1,173,true
96,7,-89,89,93,93,1,93,true
65,10,-55,55,62,62,1,59,true
2,2,0,0,1,1,?,1,true
23,9,-14,14,21,21,1,20,true
8,9,1,1,5,5,1,0,false
61,8,-53,53,57,57,1,57,true
53,31,-22,22,47,47,1,41,true
178,26,-152,152,167,167,1,157,false
37,13,-24,24,31,31,1,30,true
108,8,-100,100,103,103,1,102,false
96,3,-93,93,94,94,1,95,true
53,25,-28,28,47,47,1,36,true
75,7,-68,68,72,72,1,71,false
44,31,-13,13,42,42,1,31,true
37,40,3,3,39,39,1,21,true
13,13,0,0,13,13,1,10,true
28,7,-21,21,23,23,1,22,false
96,11,-85,85,93,93,1,92,false
51,5,-46,46,49,49,1,49,false
40,12,-28,28,33,33,0.833333,34,false
148,1,-147,147,147,147,1,147,false
