@relation words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute classe {true,false}

@data
200,18,-182,182,false
176,22,-154,154,true
52,44,-8,8,false
9,7,-2,2,true
86,11,-75,75,true
133,1,-132,132,true
159,19,-140,140,true
167,1,-166,166,true
157,1,-156,156,false
185,23,-162,162,false
60,45,-15,15,true
65,41,-24,24,true
170,46,-124,124,true
115,17,-98,98,true
41,5,-36,36,false
159,1,-158,158,false
179,21,-158,158,false
197,22,-175,175,false
162,1,-161,161,true
42,36,-6,6,true
142,16,-126,126,true
152,22,-130,130,true
70,11,-59,59,true
166,26,-140,140,false
60,37,-23,23,false
164,23,-141,141,false
9,10,1,1,true
71,20,-51,51,true
151,16,-135,135,true
7,8,1,1,false
119,19,-100,100,true
96,21,-75,75,true
182,27,-155,155,true
103,24,-79,79,false
87,1,-86,86,false
132,21,-111,111,true
94,10,-84,84,true
117,31,-86,86,true
139,2,-137,137,false
77,10,-67,67,true
33,17,-16,16,true
169,22,-147,147,true
104,1,-103,103,true
51,22,-29,29,true
96,15,-81,81,true
192,1,-191,191,true
35,12,-23,23,true
18,14,-4,4,false
24,20,-4,4,false
108,20,-88,88,true
47,5,-42,42,false
74,27,-47,47,false
142,20,-122,122,true
25,1,-24,24,false
162,1,-161,161,false
176,1,-175,175,false
22,5,-17,17,false
161,22,-139,139,true
128,26,-102,102,false
119,1,-118,118,true
37,20,-17,17,false
130,1,-129,129,false
100,6,-94,94,true
176,16,-160,160,false
44,16,-28,28,false
178,1,-177,177,false
27,6,-21,21,false
68,2,-66,66,false
93,12,-81,81,false
150,3,-147,147,true
111,10,-101,101,true
114,46,-68,68,true
15,14,-1,1,true
65,9,-56,56,false
190,1,-189,189,true
131,14,-117,117,true
12,9,-3,3,false
14,11,-3,3,false
56,13,-43,43,false
61,43,-18,18,true
16,16,0,0,true
159,21,-138,138,true
70,13,-57,57,true
81,27,-54,54,true
124,13,-111,111,true
150,14,-136,136,true
121,14,-107,107,true
194,17,-177,177,true
30,27,-3,3,true
180,1,-179,179,false
33,16,-17,17,true
176,15,-161,161,true
76,12,-64,64,false
71,17,-54,54,false
138,22,-116,116,false
110,19,-91,91,true
193,39,-154,154,false
150,1,-149,149,true
24,21,-3,3,false
62,11,-51,51,false
174,1,-173,173,true
96,7,-89,89,true
65,10,-55,55,true
2,2,0,0,true
23,9,-14,14,true
8,9,1,1,false
61,8,-53,53,true
53,31,-22,22,true
178,26,-152,152,false
37,13,-24,24,true
108,8,-100,100,false
96,3,-93,93,true
53,25,-28,28,true
75,7,-68,68,false
44,31,-13,13,true
37,40,3,3,true
13,13,0,0,true
28,7,-21,21,false
96,11,-85,85,false
51,5,-46,46,false
40,12,-28,28,false
148,1,-147,147,false
21,10,-11,11,false
167,27,-140,140,false
154,20,-134,134,true
186,23,-163,163,true
109,16,-93,93,false
44,32,-12,12,true
196,30,-166,166,true
85,51,-34,34,false
193,1,-192,192,false
5,3,-2,2,false
40,4,-36,36,true
59,9,-50,50,true
93,18,-75,75,true
174,18,-156,156,false
3,3,0,0,false
34,17,-17,17,false
64,10,-54,54,false
18,4,-14,14,false
49,26,-23,23,false
167,21,-146,146,false
174,14,-160,160,false
170,1,-169,169,false
52,24,-28,28,false
188,1,-187,187,true
68,10,-58,58,true
4,6,2,2,true
107,14,-93,93,false
199,30,-169,169,true
54,11,-43,43,true
154,29,-125,125,false
116,21,-95,95,false
40,34,-6,6,true
112,77,-35,35,true
27,27,0,0,false
85,15,-70,70,true
93,26,-67,67,false
169,25,-144,144,true
183,1,-182,182,true
20,8,-12,12,false
190,26,-164,164,false
14,12,-2,2,true
40,6,-34,34,true
36,23,-13,13,false
11,11,0,0,true
169,24,-145,145,false
71,11,-60,60,true
162,18,-144,144,true
117,15,-102,102,false
162,20,-142,142,false
39,3,-36,36,false
164,23,-141,141,false
40,11,-29,29,true
149,22,-127,127,true
172,1,-171,171,true
135,12,-123,123,true
44,15,-29,29,false
90,20,-70,70,false
107,9,-98,98,true
112,18,-94,94,true
38,1,-37,37,false
13,14,1,1,false
73,38,-35,35,true
91,14,-77,77,true
57,6,-51,51,true
37,18,-19,19,false
44,16,-28,28,false
170,1,-169,169,true
16,6,-10,10,false
76,1,-75,75,true
109,2,-107,107,true
28,15,-13,13,true
83,13,-70,70,true
94,17,-77,77,false
83,1,-82,82,true
102,10,-92,92,true
60,14,-46,46,true
8,5,-3,3,true
199,22,-177,177,false
189,1,-188,188,false
169,25,-144,144,false
93,11,-82,82,false
58,16,-42,42,true
44,17,-27,27,true
171,1,-170,170,true
72,12,-60,60,true
93,6,-87,87,false
78,3,-75,75,true
170,12,-158,158,false
151,1,-150,150,false
105,20,-85,85,false
115,12,-103,103,true
142,14,-128,128,true
28,7,-21,21,true
93,10,-83,83,true
45,9,-36,36,false
49,6,-43,43,false
124,12,-112,112,true
156,25,-131,131,true
53,13,-40,40,true
20,16,-4,4,true
49,1,-48,48,false
69,8,-61,61,false
184,19,-165,165,false
34,32,-2,2,false
188,15,-173,173,true
72,15,-57,57,false
198,1,-197,197,false
65,1,-64,64,false
164,18,-146,146,false
53,7,-46,46,false
30,5,-25,25,false
74,1,-73,73,true
44,18,-26,26,false
55,26,-29,29,false
123,3,-120,120,true
30,9,-21,21,false
160,12,-148,148,true
113,3,-110,110,true
100,21,-79,79,false
55,7,-48,48,false
53,8,-45,45,true
101,24,-77,77,true
82,18,-64,64,false
176,22,-154,154,false
189,20,-169,169,false
113,5,-108,108,false
56,31,-25,25,false
117,6,-111,111,false
188,1,-187,187,false
18,6,-12,12,true
37,5,-32,32,false
3,3,0,0,true
67,8,-59,59,false
166,12,-154,154,false
45,5,-40,40,false
111,8,-103,103,false
186,29,-157,157,false
189,1,-188,188,false
156,14,-142,142,true
27,22,-5,5,false
89,3,-86,86,true
146,23,-123,123,false
62,17,-45,45,false
50,8,-42,42,true
2,2,0,0,true
2,2,0,0,true
124,20,-104,104,false
177,30,-147,147,false
139,13,-126,126,true
152,23,-129,129,true
157,20,-137,137,true
42,36,-6,6,true
194,22,-172,172,false
49,11,-38,38,true
122,12,-110,110,false
50,29,-21,21,true
63,12,-51,51,true
161,19,-142,142,false
156,1,-155,155,false
109,9,-100,100,true
21,9,-12,12,false
180,33,-147,147,false
141,1,-140,140,true
138,15,-123,123,true
144,21,-123,123,true
145,1,-144,144,false
197,23,-174,174,true
135,25,-110,110,false
151,1,-150,150,true
154,26,-128,128,true
125,13,-112,112,true
168,1,-167,167,false
171,26,-145,145,false
124,13,-111,111,true
144,16,-128,128,true
153,20,-133,133,true
18,17,-1,1,true
49,16,-33,33,true
5,6,1,1,false
173,21,-152,152,false
190,1,-189,189,true
66,35,-31,31,true
25,13,-12,12,false
99,24,-75,75,false
165,20,-145,145,true
116,23,-93,93,true
7,3,-4,4,true
79,5,-74,74,true
42,1,-41,41,true
70,22,-48,48,true
145,11,-134,134,false
65,19,-46,46,true
92,22,-70,70,true
8,9,1,1,false
117,1,-116,116,true
148,16,-132,132,false
6,4,-2,2,true
77,11,-66,66,false
67,5,-62,62,false
13,11,-2,2,true
178,21,-157,157,true
173,25,-148,148,false
193,18,-175,175,false
164,38,-126,126,false
72,31,-41,41,true
121,18,-103,103,true
72,24,-48,48,true
34,34,0,0,false
192,29,-163,163,true
79,17,-62,62,true
161,1,-160,160,false
176,16,-160,160,true
70,31,-39,39,true
7,7,0,0,true
200,30,-170,170,false
56,17,-39,39,false
54,5,-49,49,true
170,16,-154,154,true
72,30,-42,42,true
56,40,-16,16,true
60,41,-19,19,false
19,12,-7,7,false
44,8,-36,36,true
196,33,-163,163,false
63,15,-48,48,true
98,12,-86,86,true
121,12,-109,109,false
61,8,-53,53,false
9,8,-1,1,true
59,7,-52,52,true
115,2,-113,113,false
75,11,-64,64,true
160,16,-144,144,false
192,25,-167,167,true
162,14,-148,148,true
81,15,-66,66,false
73,12,-61,61,true
95,13,-82,82,false
150,26,-124,124,true
165,25,-140,140,true
133,35,-98,98,false
110,22,-88,88,true
142,17,-125,125,false
12,6,-6,6,false
98,7,-91,91,true
71,17,-54,54,false
26,17,-9,9,true
170,1,-169,169,false
32,33,1,1,false
22,15,-7,7,false
127,21,-106,106,false
45,1,-44,44,true
188,22,-166,166,false
82,2,-80,80,true
90,1,-89,89,false
17,20,3,3,false
37,12,-25,25,false
119,20,-99,99,false
111,11,-100,100,false
104,48,-56,56,true
197,23,-174,174,false
98,19,-79,79,true
142,1,-141,141,true
141,18,-123,123,true
121,9,-112,112,true
169,20,-149,149,true
44,17,-27,27,false
105,20,-85,85,true
154,19,-135,135,false
194,1,-193,193,false
147,28,-119,119,false
103,1,-102,102,false
34,16,-18,18,true
187,20,-167,167,true
107,19,-88,88,false
143,5,-138,138,true
55,12,-43,43,true
145,1,-144,144,false
91,1,-90,90,false
169,22,-147,147,false
168,1,-167,167,true
168,1,-167,167,false
9,7,-2,2,false
25,14,-11,11,true
16,14,-2,2,false
95,5,-90,90,true
150,30,-120,120,false
129,18,-111,111,false
76,29,-47,47,true
79,1,-78,78,false
144,21,-123,123,true
159,19,-140,140,true
44,13,-31,31,false
185,18,-167,167,false
79,16,-63,63,true
40,14,-26,26,false
172,16,-156,156,false
111,16,-95,95,false
136,29,-107,107,true
62,1,-61,61,true
180,19,-161,161,true
22,27,5,5,false
140,18,-122,122,false
179,1,-178,178,false
179,1,-178,178,true
121,17,-104,104,false
198,36,-162,162,true
66,8,-58,58,true
169,18,-151,151,true
38,10,-28,28,true
69,10,-59,59,false
90,1,-89,89,false
176,21,-155,155,true
106,16,-90,90,true
39,12,-27,27,false
125,14,-111,111,true
63,25,-38,38,false
28,7,-21,21,true
45,18,-27,27,true
142,1,-141,141,false
50,9,-41,41,false
31,20,-11,11,true
140,1,-139,139,false
70,11,-59,59,false
140,16,-124,124,false
81,13,-68,68,true
145,17,-128,128,false
122,16,-106,106,false
48,12,-36,36,false
128,1,-127,127,true
106,7,-99,99,true
44,11,-33,33,true
167,10,-157,157,true
101,11,-90,90,false
148,1,-147,147,true
147,20,-127,127,true
104,12,-92,92,true
68,6,-62,62,false
49,14,-35,35,true
7,7,0,0,false
189,21,-168,168,false
78,31,-47,47,true
13,13,0,0,false
134,13,-121,121,true
74,51,-23,23,true
200,1,-199,199,false
105,14,-91,91,false
109,10,-99,99,false
75,28,-47,47,true
118,16,-102,102,true
84,28,-56,56,false
157,18,-139,139,true
25,6,-19,19,true
112,25,-87,87,true
184,23,-161,161,false
43,6,-37,37,false
139,1,-138,138,true
35,36,1,1,false
118,14,-104,104,false
74,14,-60,60,true
144,1,-143,143,true
31,3,-28,28,true
43,27,-16,16,true
143,25,-118,118,false
140,19,-121,121,true
15,14,-1,1,true
119,1,-118,118,true
65,11,-54,54,true
122,9,-113,113,false
190,26,-164,164,false
31,3,-28,28,false
59,3,-56,56,true
54,39,-15,15,true
100,11,-89,89,true
85,8,-77,77,false
152,1,-151,151,true
115,17,-98,98,true
27,3,-24,24,false
145,1,-144,144,false
18,16,-2,2,false
194,18,-176,176,false
63,12,-51,51,true
117,12,-105,105,true
69,19,-50,50,false
42,37,-5,5,false
113,18,-95,95,true
41,14,-27,27,true
148,32,-116,116,true
53,11,-42,42,true
4,4,0,0,true
9,9,0,0,true
165,34,-131,131,false
116,27,-89,89,true
140,19,-121,121,false
75,9,-66,66,true
194,22,-172,172,true
187,21,-166,166,false
113,6,-107,107,false
90,14,-76,76,false
122,14,-108,108,true
174,20,-154,154,true
139,16,-123,123,false
145,12,-133,133,true
183,36,-147,147,false
32,27,-5,5,true
54,30,-24,24,false
91,11,-80,80,false
68,34,-34,34,false
45,27,-18,18,true
176,1,-175,175,true
126,2,-124,124,false
96,10,-86,86,true
112,11,-101,101,false
183,29,-154,154,true
86,1,-85,85,true
36,15,-21,21,true
37,3,-34,34,true
162,21,-141,141,true
38,16,-22,22,false
155,1,-154,154,false
94,4,-90,90,true
39,5,-34,34,false
115,26,-89,89,true
13,2,-11,11,true
191,1,-190,190,true
85,14,-71,71,true
51,10,-41,41,false
154,15,-139,139,false
135,4,-131,131,false
63,74,11,11,false
66,20,-46,46,true
88,12,-76,76,true
42,4,-38,38,true
153,14,-139,139,false
156,18,-138,138,true
111,2,-109,109,true
174,24,-150,150,true
54,29,-25,25,true
6,4,-2,2,false
107,12,-95,95,true
