@RELATION words

%Length

@attribute word1Length real
@attribute word2Length real
@attribute word2-word1Length real
@attribute word2-word1LengthAbs real

%Proposed Attributes

@attribute comProbabilityChar0Dist0 real
@attribute comProbabilityChar0Dist0DivWord2Length real
@attribute comProbabilityCharMDist0 real
@attribute comProbabilityChar0DistM real
@attribute comProbabilityCharMDistM real
@attribute comWeightedTotalProbabilityDist0 real
@attribute comWeightedTotalProbabilityDist1 real
@attribute comWeightedTotalProbabilityDistM real
@attribute comWeightedTotalProbability real

@attribute comNormWeightedTotalProbability real

@attribute comWeightedTotalProbability(WTPS)DivWord1Length real
@attribute comWeightedTotalProbability(WTPS)DivWord2Length real
@attribute comWeightedTotalProbability(WTPS)Div real
@attribute comMagicalColumnDiv(COD) real
@attribute comMagicalColumnDiv2(COD) real

@attribute rlmMclcs real
@attribute rlmNormMclcs real
@attribute rlmTotalLength(SO_ou_RLMSO) real

@attribute rlmNormTotalLength(SO_ou_RLMSO_div) real

@attribute rlmTotalLength(SO_ou_RLMSO)DivWord2Length real
@attribute rlmTotalLength(WSO_ou_RLMWSO)Weighted real
@attribute rlmTotalLengthWeightedInv real
@attribute rlmMaxLengthOccurrences(MO) real
@attribute rlmMaxLength(MORL) real
@attribute rlmMinLengthMaxOccurrences(MLMO) real
@attribute rlmMaxOccurrencesMinLength(MOML) real



%Mutual Information

@attribute mi0 real
@attribute mi1 real
@attribute mi2 real
@attribute mi3 real
@attribute mi4 real
@attribute meanMI real
%proposed mi's
@attribute weightedMeanMI real
@attribute wmi0 real
@attribute wmi1 real
@attribute wmi2 real
@attribute wmi3 real
@attribute wmi4 real
@attribute meanWMI real
@attribute weightedMeanWMI real

%LCS

@attribute nlcs real
@attribute mclcs00 real
@attribute mclcs01 real
@attribute mclcsLength/2Length/2 real
@attribute nmclcs real

%distances

@attribute damerau real
%@attribute jaroWinkler real
@attribute levenshtein real
@attribute dice real
@attribute hamming real

@attribute classe {non,other}

@DATA
217,307,90,90,0.0,0.0,1.0,0.0,0.4,-172.0,-167.0,-180.0,-52063.0,40687.43104819946,-239.92166,-169.58632,-53508.035,-2108616.0,267.1667,2.0,6.004293069544724E-5,591.0,5.242963719059127,1.9250815,613.0,570.0,569.0,2.0,1,569,3.4784966,3.399957,3.4058952,3.3552778,3.4232574,3.435721,20.54991,1.7404646,1.70792,1.7140287,1.6924934,1.7203271,1.7262068,10.325829,0.016346687881835513,1,2,0,7.355259010192287E-4,282.0,282.0,1.0,187,non
208,526,318,318,0.022222223,4.224757E-5,0.08888889,0.0,0.6666667,241.0,-157.0,-142.0,-55795.0,28453.87928670664,-268.24518,-106.07414,-74749.34,-3.3352824E7,748.66675,44.0,0.017695232524129863,5492.0,275.68426440479675,10.441065,52313.0,1820.0,1777.0,31.0,1,1777,3.3077192,3.101411,3.0876136,3.1580017,3.1428435,3.0261,18.52733,2.085694,1.5592291,1.5411544,1.5790008,1.5857657,1.5206788,9.717618,0.12087781515062884,45,1,1,0.018508701374670956,378.0,378.0,0.4623955431754875,145,other
227,251,24,24,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-44.0,-5365.0,505.1727012654229,-23.634361,-21.374502,-9118.777,-1223274.0,473.5,30.0,0.015795847447215544,2026.0,72.0409287958299,8.071713,8681.0,1008.0,979.0,16.0,1,979,3.604948,3.5883045,3.658951,3.5952141,3.6628473,3.5427046,21.61417,1.8334599,1.833599,1.9088281,1.9288721,2.1085591,1.7906234,11.18389,0.16855924320339785,4,7,5,0.033978622953121436,86.0,86.0,0.4759825327510917,134,other
195,317,122,122,1.0,0.0031545742,0.0,0.0,0.0,-106.0,-107.0,-107.0,-30628.0,15175.513774973711,-157.06667,-96.61829,-33657.773,-2575915.0,344.5,9.0,0.0013103615627274934,905.0,13.249615789047965,2.8548896,1323.0,735.0,727.0,7.0,1,727,3.427906,3.4345546,3.3753974,3.3834157,3.4930167,3.194502,19.51486,1.7175473,1.7208188,1.7010689,1.6997064,1.7599669,1.6080009,9.816039,0.05442044811129985,1,1,0,0.0036398932297985924,284.0,284.0,0.8907563025210083,142,other
192,317,125,125,0.0,0.0,0.0,0.0,0.0,-184.0,-190.0,-160.0,-52440.0,45181.94006309148,-273.125,-165.42587,-56650.35,-2815580.0,328.5,2.0,6.572029442691903E-5,617.0,6.254748291272345,1.9463723,623.0,612.0,611.0,2.0,1,611,3.2909918,3.2952983,3.295699,3.4217713,3.4124691,3.125318,19.042223,1.65033,1.6476492,1.6494212,1.7201524,1.7261511,1.5715559,9.563818,0.011106729758149317,1,0,0,8.050736067297581E-4,296.0,296.0,1.0,171,non
318,307,-11,11,0.0,0.0,0.0,0.0,0.0,-157.0,-110.0,-162.0,-45751.0,21440.538391412123,-143.87106,-149.02606,-47923.5,-2355888.0,352.6667,2.0,4.0972691700981296E-5,947.0,9.186169667916333,3.0846906,979.0,916.0,915.0,2.0,1,915,3.483407,3.4797807,3.444285,3.445964,3.3596132,3.4014528,21.663136,1.7420709,1.7574022,1.736677,1.7242149,1.6830784,1.7093139,10.877476,0.020742425173621782,1,6,2,5.019154733370209E-4,308.0,308.0,1.0,273,non
256,526,270,270,0.33333334,6.3371356E-4,0.0,0.0,0.0,-166.0,-139.0,-198.0,-94032.0,65663.7433460076,-367.3125,-178.76807,-112311.984,-2.4142274E7,888.0833,4.0,1.188212927756654E-4,1885.0,26.387424251425855,3.58365,2012.0,1783.0,1780.0,4.0,1,1780,2.9991875,2.9920778,3.0852284,3.081105,3.1942782,2.9980478,18.585163,1.5055184,1.4994118,1.5505754,1.550558,1.5957329,1.5081599,9.336208,0.02328897338403042,3,4,4,8.985860266159696E-4,473.0,473.0,0.9733333333333334,217,non
326,251,-75,75,0.16666667,6.6401064E-4,0.16666667,0.0,0.0,30.0,54.0,42.0,4131.0,208.55426148168064,12.671779,16.458168,255.36493,-1154314.0,505.5,48.0,0.028157309412656123,4594.0,257.9233495465989,18.30279,36563.0,1605.0,1558.0,28.0,1,1558,3.4596999,3.4076273,3.4731648,3.4161367,3.6148915,3.4351075,21.042189,1.7761973,1.730674,1.7528144,1.7284429,1.8498923,1.7497418,10.7498455,0.21293965243321195,6,4,3,0.03055263608144111,160.0,160.0,0.2780847145488029,194,other
219,317,98,98,0.0,0.0,0.0,0.0,0.0,-57.0,-78.0,-78.0,-10234.0,1508.6463563948548,-46.730595,-32.283913,-21092.617,-5554259.0,727.1666,12.0,0.0020742405254742663,1902.0,52.10958904109589,6.0,3885.0,1293.0,1282.0,10.0,1,1282,3.216632,3.1876504,3.2355516,3.3493798,3.2798932,3.101225,19.024067,1.6143383,1.5938252,1.6177758,1.6823419,1.6397375,1.5715127,9.596064,0.0788787577603964,2,0,3,0.006352361609264941,246.0,246.0,0.6733870967741935,171,other
238,317,79,79,0.0,0.0,0.25,0.0,0.0,-121.0,-139.0,-191.0,-52866.0,37043.89836439308,-222.12605,-166.76971,-57362.125,-2436641.0,370.0,4.0,2.1207221058770512E-4,799.0,8.461694456962595,2.5205047,833.0,774.0,771.0,3.0,1,771,3.4125502,3.3976448,3.297536,3.3904407,3.2636962,3.2903192,20.170954,1.7144648,1.7097288,1.6593274,1.7090216,1.6400377,1.6531882,10.141363,0.01114704556901625,4,2,2,6.49471144924847E-4,295.0,295.0,0.9883495145631068,212,other
199,307,108,108,0.0,0.0,0.0,0.0,0.0,-135.0,-112.0,-117.0,-40814.0,27266.34141390994,-205.09547,-132.94463,-42790.445,-2089351.0,336.1667,8.0,0.0010475831928371498,781.0,9.98413893572095,2.543974,993.0,676.0,669.0,5.0,1,669,3.5749788,3.531118,3.531117,3.6165552,3.5485852,3.5548282,20.977928,1.7894832,1.781368,1.7717568,1.8147732,1.7781178,1.7897912,10.558706,0.05506359157350269,1,4,0,0.0032082235280637716,247.0,247.0,0.9151515151515152,156,other
194,526,332,332,0.0,0.0,0.0,0.0,0.0,-284.0,-260.0,-237.0,-141524.0,196278.4933558073,-729.5051,-269.05704,-150967.5,-1.977192E7,483.66666,3.0,8.819724824585474E-5,1086.0,11.557720199129788,2.0646389,1122.0,1053.0,1051.0,2.0,1,1051,3.0877342,3.0634308,3.1619205,3.0876613,3.156236,3.072905,18.226734,1.5446353,1.5351832,1.5793455,1.5545762,1.578118,1.5426564,9.138917,0.014905334953549449,1,2,1,7.937752342126926E-4,482.0,482.0,0.9971550497866287,168,non
194,251,57,57,0.0,0.0,0.0,0.0,0.0,-59.0,-103.0,-127.0,-26407.0,14320.648313960652,-136.11856,-105.20717,-29819.299,-1124090.0,328.16666,4.0,3.285825769088594E-4,712.0,10.410810366780302,2.8366535,777.0,660.0,657.0,3.0,1,657,3.3313713,3.2978563,3.468734,3.391236,3.3373294,3.354207,19.674997,1.6864184,1.6673106,1.7369891,1.7114463,1.6752305,1.6889422,9.921276,0.025157103544584548,5,3,2,0.0016634492956011007,228.0,229.0,0.9768518518518519,163,non
151,317,166,166,0.03846154,1.2132978E-4,0.0,0.0,0.0,64.0,57.0,-47.0,-16730.0,5847.303988133787,-110.7947,-52.776024,-19840.566,-2927348.0,407.83334,42.0,0.03685211105772244,2522.0,132.87826686443688,7.955836,21532.0,745.0,704.0,23.0,1,704,3.5831988,3.6586635,3.4250307,3.478976,3.2994711,3.0718558,18.804531,2.1141837,2.352323,1.7287097,1.7454386,1.6597139,1.5578786,10.172138,0.1768232811749222,26,32,0,0.04420582029373055,196.0,196.0,0.41013824884792627,64,other
153,317,164,164,1.0,0.0031545742,0.0,0.0,0.0,-194.0,-167.0,-195.0,-57002.0,66993.01053586524,-372.5621,-179.81703,-59130.4,-2739972.0,222.83333,2.0,8.24725263396631E-5,469.0,4.5351848415496585,1.4794953,477.0,462.0,461.0,2.0,1,461,3.4464834,3.381684,3.401521,3.3501348,3.3967314,3.0977652,18.606346,1.7374159,1.7041794,1.7068139,1.6750674,1.7042704,1.5561908,9.347965,0.0150306179254036,1,3,0,7.422527370569679E-4,295.0,295.0,1.0,135,other
180,307,127,127,0.0,0.0,0.0,0.0,0.0,-46.0,-76.0,-56.0,-19696.0,7020.130582699964,-109.422226,-64.15635,-21748.389,-2351177.0,400.83334,47.0,0.039974665218964894,2300.0,95.72927976836772,7.4918566,22002.0,726.0,680.0,24.0,1,680,3.6207144,3.746584,3.7440422,3.6107614,3.6473122,3.6451247,21.2218,1.8408175,1.873292,1.8867074,1.808624,1.8450968,1.8436307,10.754372,0.1957292797683677,5,0,1,0.1276872964169381,174.0,174.0,0.46058091286307057,111,other
81,526,445,445,0.33333334,6.3371356E-4,0.0,0.0,0.25,-219.0,-277.0,-257.0,-134504.0,424619.2089377083,-1660.5432,-255.71103,-138715.62,-1.33186E7,274.5833,12.0,0.0033798056611744824,848.0,16.87799840398066,1.6121674,1558.0,635.0,624.0,8.0,1,624,2.5337107,2.5466719,2.584629,2.6205165,2.5637872,2.5366547,12.717847,1.278069,1.2733359,1.2835536,1.3195428,1.2969108,1.2799252,6.392479,0.06104773975496409,3,0,0,0.012416091630286815,477.0,477.0,0.8650927487352446,49,other
174,251,77,77,0.0,0.0,0.33333334,0.0,0.0,-37.0,-13.0,-26.0,-11161.0,2852.2214818885377,-64.14368,-44.466137,-13658.078,-1219818.0,304.08334,21.0,0.010097540870998763,1165.0,31.07626963410725,4.641434,3557.0,692.0,672.0,11.0,1,672,3.467578,3.5084584,3.5552857,3.5874958,3.5420847,3.4943192,20.213058,1.7493631,1.7876551,1.7853272,1.797211,1.8261491,1.7612703,10.235623,0.15395887713513762,3,5,1,0.028048724641663234,200.0,200.0,0.6885644768856447,96,other
33,317,284,284,0.0,0.0,0.0,0.0,0.0,-244.0,-232.0,-238.0,-76359.0,557374.7137940923,-2313.9092,-240.88013,-76517.5,-827162.0,60.5,2.0,3.823726221202562E-4,108.0,1.1149985661026671,0.340694,109.0,108.0,107.0,1.0,1,107,2.2328656,2.2328656,2.2871614,2.2281942,2.2912078,2.2827637,9.3808155,1.1164328,1.1664954,1.1435807,1.1380574,1.1456039,1.153033,4.7441454,0.018736258483892553,0,2,0,3.823726221202562E-4,306.0,306.0,1.0,27,non
91,317,226,226,0.0,0.0,0.0,0.0,0.0,-217.0,-217.0,-217.0,-66669.0,154080.33975803378,-732.6264,-210.3123,-67231.836,-1859656.0,90.5,2.0,1.386625992304226E-4,213.0,1.5727458661212605,0.6719243,220.0,207.0,206.0,2.0,1,206,3.1100004,3.0809996,3.1710014,3.1006894,3.1021562,3.112137,15.952566,1.5550002,1.5404998,1.5855007,1.5714426,1.5622096,1.5605255,7.999904,0.012514299580545637,0,0,0,5.546503969216904E-4,301.0,301.0,1.0,81,non
283,307,24,24,0.029411765,9.580379E-5,0.029411765,0.0,0.0,106.0,154.0,-2.0,-367.0,1.5502699094163281,-1.2968198,-1.1954397,-3173.0298,-1963335.0,573.5,76.0,0.0664817393906608,9222.0,978.8709153900162,30.039087,190701.0,1117.0,1042.0,53.0,1,1042,3.9947462,4.3731494,4.4189615,5.071808,4.698958,3.9862826,25.58099,2.2733984,2.6466835,2.8581626,3.5658133,3.1819832,2.0132022,13.979882,0.3133596528585076,34,41,3,0.0664817393906608,26.0,26.0,0.08561643835616439,118,other
87,526,439,439,0.016949153,3.2222724E-5,0.033898305,0.0,0.0,183.0,-275.0,-264.0,-134602.0,395911.4200428303,-1547.1494,-255.89734,-138604.61,-1.2428419E7,292.66666,59.0,0.07606747956820069,2308.0,116.40365368646475,4.3878326,36557.0,632.0,574.0,30.0,1,574,3.5935643,2.6980257,2.6970258,2.8271449,2.6768696,2.7375383,14.666036,3.1691227,1.3490129,1.3485129,1.4135724,1.3382399,1.3891569,8.71495,0.059088326559153886,59,0,0,0.07606747956820069,459.0,459.0,0.8096828046744574,40,other
