@relation words-weka.filters.unsupervised.attribute.Remove-R20-53

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute comProbabilityChar0Dist0 numeric
@attribute comProbabilityChar0Dist0DivWord2Length numeric
@attribute comProbabilityCharMDist0 numeric
@attribute comProbabilityChar0DistM numeric
@attribute comProbabilityCharMDistM numeric
@attribute comWeightedTotalProbabilityDist0 numeric
@attribute comWeightedTotalProbabilityDist1 numeric
@attribute comWeightedTotalProbabilityDistM numeric
@attribute comWeightedTotalProbability numeric
@attribute comNormWeightedTotalProbability numeric
@attribute comWeightedTotalProbability(WTPS)DivWord1Length numeric
@attribute comWeightedTotalProbability(WTPS)DivWord2Length numeric
@attribute comWeightedTotalProbability(WTPS)Div numeric
@attribute comMagicalColumnDiv(COD) numeric
@attribute comMagicalColumnDiv2(COD) numeric
@attribute classe {non,light,heavy,cut}

@data
217,307,90,90,0,0,1,0,0.4,-172,-167,-180,-52063,40687.431048,-239.92166,-169.58632,-53508.035,-2108616,267.1667,non
208,526,318,318,0.022222,0.000042,0.088889,0,0.666667,241,-157,-142,-55795,28453.879287,-268.24518,-106.07414,-74749.34,-33352824,748.66675,cut
227,251,24,24,0,0,0,0,0,0,4,-44,-5365,505.172701,-23.634361,-21.374502,-9118.777,-1223274,473.5,light
195,317,122,122,1,0.003155,0,0,0,-106,-107,-107,-30628,15175.513775,-157.06667,-96.61829,-33657.773,-2575915,344.5,heavy
192,317,125,125,0,0,0,0,0,-184,-190,-160,-52440,45181.940063,-273.125,-165.42587,-56650.35,-2815580,328.5,non
318,307,-11,11,0,0,0,0,0,-157,-110,-162,-45751,21440.538391,-143.87106,-149.02606,-47923.5,-2355888,352.6667,non
256,526,270,270,0.333333,0.000634,0,0,0,-166,-139,-198,-94032,65663.743346,-367.3125,-178.76807,-112311.984,-24142274,888.0833,non
326,251,-75,75,0.166667,0.000664,0.166667,0,0,30,54,42,4131,208.554261,12.671779,16.458168,255.36493,-1154314,505.5,cut
219,317,98,98,0,0,0,0,0,-57,-78,-78,-10234,1508.646356,-46.730595,-32.283913,-21092.617,-5554259,727.1666,light
238,317,79,79,0,0,0.25,0,0,-121,-139,-191,-52866,37043.898364,-222.12605,-166.76971,-57362.125,-2436641,370,heavy
199,307,108,108,0,0,0,0,0,-135,-112,-117,-40814,27266.341414,-205.09547,-132.94463,-42790.445,-2089351,336.1667,heavy
194,526,332,332,0,0,0,0,0,-284,-260,-237,-141524,196278.493356,-729.5051,-269.05704,-150967.5,-19771920,483.66666,non
194,251,57,57,0,0,0,0,0,-59,-103,-127,-26407,14320.648314,-136.11856,-105.20717,-29819.299,-1124090,328.16666,non
151,317,166,166,0.038462,0.000121,0,0,0,64,57,-47,-16730,5847.303988,-110.7947,-52.776024,-19840.566,-2927348,407.83334,cut
153,317,164,164,1,0.003155,0,0,0,-194,-167,-195,-57002,66993.010536,-372.5621,-179.81703,-59130.4,-2739972,222.83333,light
180,307,127,127,0,0,0,0,0,-46,-76,-56,-19696,7020.130583,-109.422226,-64.15635,-21748.389,-2351177,400.83334,cut
81,526,445,445,0.333333,0.000634,0,0,0.25,-219,-277,-257,-134504,424619.208938,-1660.5432,-255.71103,-138715.62,-13318600,274.5833,light
174,251,77,77,0,0,0.333333,0,0,-37,-13,-26,-11161,2852.221482,-64.14368,-44.466137,-13658.078,-1219818,304.08334,heavy
33,317,284,284,0,0,0,0,0,-244,-232,-238,-76359,557374.713794,-2313.9092,-240.88013,-76517.5,-827162,60.5,non
91,317,226,226,0,0,0,0,0,-217,-217,-217,-66669,154080.339758,-732.6264,-210.3123,-67231.836,-1859656,90.5,non
283,307,24,24,0.029412,0.000096,0.029412,0,0,106,154,-2,-367,1.55027,-1.29682,-1.19544,-3173.0298,-1963335,573.5,light
87,526,439,439,0.016949,0.000032,0.033898,0,0,183,-275,-264,-134602,395911.420043,-1547.1494,-255.89734,-138604.61,-12428419,292.66666,heavy
76,251,175,175,0,0,0,0,0,-141,-159,-145,-37155,72368.107832,-488.8816,-148.0279,-38446.45,-1158789,165,non
65,317,252,252,0,0,0,0,0,-187,-190,-138,-57732,161756.07008,-888.18463,-182.11987,-58573.332,-1994332,88,non
96,317,221,221,0,0,0,0,0,-231,-201,-231,-70855,164972.102557,-738.07294,-223.51735,-71618,-1691693,126.5,cut
206,307,101,101,0.333333,0.001086,0,0,0,-158,-137,-144,-49943,39440.613026,-242.44174,-162.68079,-51238.426,-1911627,255.5,non
207,526,319,319,0,0,0,0,0,-205,-202,-114,-102894,97235.311952,-497.07245,-195.61597,-116930.68,-27477468,652.36664,heavy
