@relation words-weka.filters.unsupervised.attribute.Remove-R5-49

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute damerau numeric
@attribute levenshtein numeric
@attribute dice numeric
@attribute hamming numeric
@attribute classe {non,light,heavy,cut}

@data
217,307,90,90,282,282,1,187,non
208,526,318,318,378,378,0.462396,145,cut
227,251,24,24,86,86,0.475983,134,light
195,317,122,122,284,284,0.890756,142,heavy
192,317,125,125,296,296,1,171,non
318,307,-11,11,308,308,1,273,non
256,526,270,270,473,473,0.973333,217,non
326,251,-75,75,160,160,0.278085,194,cut
219,317,98,98,246,246,0.673387,171,light
238,317,79,79,295,295,0.98835,212,heavy
199,307,108,108,247,247,0.915152,156,heavy
194,526,332,332,482,482,0.997155,168,non
194,251,57,57,228,229,0.976852,163,non
151,317,166,166,196,196,0.410138,64,cut
153,317,164,164,295,295,1,135,light
180,307,127,127,174,174,0.460581,111,cut
81,526,445,445,477,477,0.865093,49,light
174,251,77,77,200,200,0.688564,96,heavy
33,317,284,284,306,306,1,27,non
91,317,226,226,301,301,1,81,non
283,307,24,24,26,26,0.085616,118,light
87,526,439,439,459,459,0.809683,40,heavy
76,251,175,175,231,231,0.98722,59,non
65,317,252,252,301,301,0.994253,52,non
96,317,221,221,297,297,1,84,cut
206,307,101,101,285,285,1,171,non
207,526,319,319,468,469,0.952646,166,heavy
215,251,36,36,190,191,0.820628,154,light
243,317,74,74,211,211,0.694391,174,cut
186,317,131,131,295,295,1,162,non
164,307,143,143,281,281,1,144,non
207,526,319,319,480,480,0.988796,182,non
251,251,0,0,191,191,0.806186,165,heavy
188,317,129,129,255,255,0.862366,139,light
303,317,14,14,302,302,1,267,cut
217,307,90,90,240,240,0.834297,155,light
278,526,248,248,442,442,0.793103,222,cut
118,251,133,133,228,228,0.983003,94,non
147,317,170,170,288,288,0.953052,126,non
206,317,111,111,291,291,0.991837,185,heavy
286,307,21,21,296,296,0.996558,245,non
263,526,263,263,434,434,0.872396,212,heavy
243,251,8,8,72,73,0.467505,133,light
330,317,-13,13,216,216,0.646235,245,cut
211,317,106,106,292,292,1,192,non
258,307,49,49,286,286,0.996364,224,non
217,526,309,309,481,481,0.989011,187,non
201,251,50,50,212,212,0.926437,137,heavy
252,317,65,65,89,89,0.326996,141,light
271,317,46,46,301,301,0.992727,241,cut
206,307,101,101,223,223,0.494071,150,cut
185,526,341,341,471,471,0.982609,153,non
240,251,11,11,237,237,0.960613,205,non
253,317,64,64,258,258,0.748479,202,heavy
204,317,113,113,294,294,0.987603,181,light
352,307,-45,45,208,208,0.551459,205,heavy
160,526,366,366,428,429,0.772795,79,light
115,251,136,136,233,233,1,95,cut
165,317,152,152,292,292,0.991031,137,non
182,317,135,135,290,290,0.99569,163,non
199,307,108,108,280,280,0.987928,164,non
209,526,317,317,448,448,0.89415,164,heavy
335,251,-84,84,187,187,0.609929,224,light
303,317,14,14,32,32,0.101754,169,cut
248,317,69,69,291,291,0.996234,215,non
212,307,95,95,284,284,0.992141,178,non
308,526,218,218,474,474,0.995104,271,non
224,251,27,27,219,219,0.89011,169,heavy
138,317,179,179,255,255,0.841727,95,light
143,317,174,174,292,292,0.99061,128,cut
128,307,179,179,180,180,0.448598,92,cut
183,526,343,343,485,485,0.991304,153,non
104,251,147,147,227,227,0.982456,83,non
107,317,210,210,260,260,0.844156,73,heavy
101,317,216,216,294,294,0.994805,86,light
202,307,105,105,285,285,0.995951,171,non
215,526,311,311,487,487,1,184,non
217,251,34,34,132,132,0.592018,136,heavy
218,317,99,99,163,163,0.610656,162,light
379,317,-62,62,355,355,0.990625,344,cut
283,307,24,24,98,98,0.082192,125,cut
185,526,341,341,485,485,0.994228,152,non
122,251,129,129,226,226,0.977591,104,non
287,317,30,30,75,75,0.151625,166,heavy
255,317,62,62,294,294,0.988785,225,light
202,307,105,105,257,258,0.832,129,light
242,526,284,284,479,479,0.991957,204,cut
246,251,5,5,239,240,0.979123,205,non
225,317,92,92,286,286,0.992048,192,non
251,317,66,66,295,295,0.992495,223,heavy
210,307,97,97,282,282,0.976238,158,heavy
239,526,287,287,338,338,0.487671,164,light
207,251,44,44,208,208,0.730858,159,cut
243,317,74,74,289,289,0.996139,214,non
243,317,74,74,295,295,0.99619,216,non
