@relation words-weka.filters.unsupervised.attribute.Remove-R5-53

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute classe {non,light,heavy,cut}

@data
217,307,90,90,non
208,526,318,318,cut
227,251,24,24,light
195,317,122,122,heavy
192,317,125,125,non
318,307,-11,11,non
256,526,270,270,non
326,251,-75,75,cut
219,317,98,98,light
238,317,79,79,heavy
199,307,108,108,heavy
194,526,332,332,non
194,251,57,57,non
151,317,166,166,cut
153,317,164,164,light
180,307,127,127,cut
81,526,445,445,light
174,251,77,77,heavy
33,317,284,284,non
91,317,226,226,non
283,307,24,24,light
87,526,439,439,heavy
76,251,175,175,non
65,317,252,252,non
96,317,221,221,cut
206,307,101,101,non
207,526,319,319,heavy
215,251,36,36,light
243,317,74,74,cut
186,317,131,131,non
164,307,143,143,non
207,526,319,319,non
251,251,0,0,heavy
188,317,129,129,light
303,317,14,14,cut
217,307,90,90,light
278,526,248,248,cut
118,251,133,133,non
147,317,170,170,non
206,317,111,111,heavy
286,307,21,21,non
263,526,263,263,heavy
243,251,8,8,light
330,317,-13,13,cut
211,317,106,106,non
258,307,49,49,non
217,526,309,309,non
201,251,50,50,heavy
252,317,65,65,light
271,317,46,46,cut
206,307,101,101,cut
185,526,341,341,non
240,251,11,11,non
253,317,64,64,heavy
204,317,113,113,light
352,307,-45,45,heavy
160,526,366,366,light
115,251,136,136,cut
165,317,152,152,non
182,317,135,135,non
199,307,108,108,non
209,526,317,317,heavy
335,251,-84,84,light
303,317,14,14,cut
248,317,69,69,non
212,307,95,95,non
308,526,218,218,non
224,251,27,27,heavy
138,317,179,179,light
143,317,174,174,cut
128,307,179,179,cut
183,526,343,343,non
104,251,147,147,non
107,317,210,210,heavy
101,317,216,216,light
202,307,105,105,non
215,526,311,311,non
217,251,34,34,heavy
218,317,99,99,light
379,317,-62,62,cut
283,307,24,24,cut
185,526,341,341,non
122,251,129,129,non
287,317,30,30,heavy
255,317,62,62,light
202,307,105,105,light
242,526,284,284,cut
246,251,5,5,non
225,317,92,92,non
251,317,66,66,heavy
210,307,97,97,heavy
239,526,287,287,light
207,251,44,44,cut
243,317,74,74,non
243,317,74,74,non
