@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-44,46-53'

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute nlcs numeric
@attribute classe {non,light,heavy,cut}

@data
217,307,90,90,0.016347,non
208,526,318,318,0.120878,cut
227,251,24,24,0.168559,light
195,317,122,122,0.05442,heavy
192,317,125,125,0.011107,non
318,307,-11,11,0.020742,non
256,526,270,270,0.023289,non
326,251,-75,75,0.21294,cut
219,317,98,98,0.078879,light
238,317,79,79,0.011147,heavy
199,307,108,108,0.055064,heavy
194,526,332,332,0.014905,non
194,251,57,57,0.025157,non
151,317,166,166,0.176823,cut
153,317,164,164,0.015031,light
180,307,127,127,0.195729,cut
81,526,445,445,0.061048,light
174,251,77,77,0.153959,heavy
33,317,284,284,0.018736,non
91,317,226,226,0.012514,non
283,307,24,24,0.31336,light
87,526,439,439,0.059088,heavy
76,251,175,175,0.023118,non
65,317,252,252,0.01752,non
96,317,221,221,0.010647,cut
206,307,101,101,0.027893,non
207,526,319,319,0.030896,heavy
215,251,36,36,0.068952,light
243,317,74,74,0.065441,cut
186,317,131,131,0.014263,non
164,307,143,143,0.016704,non
207,526,319,319,0.016201,non
251,251,0,0,0.117395,heavy
188,317,129,129,0.054517,light
303,317,14,14,0.015034,cut
217,307,90,90,0.108453,light
278,526,248,248,0.041606,cut
118,251,133,133,0.032446,non
147,317,170,170,0.016824,non
206,317,111,111,0.009571,heavy
286,307,21,21,0.021059,non
263,526,263,263,0.040661,heavy
243,251,8,8,0.205663,light
330,317,-13,13,0.069066,cut
211,317,106,106,0.010107,non
258,307,49,49,0.018231,non
217,526,309,309,0.017741,non
201,251,50,50,0.097124,heavy
252,317,65,65,0.174303,light
271,317,46,46,0.013456,cut
206,307,101,101,0.130941,cut
185,526,341,341,0.024674,non
240,251,11,11,0.020335,non
253,317,64,64,0.036359,heavy
204,317,113,113,0.013005,light
352,307,-45,45,0.199965,heavy
160,526,366,366,0.08788,light
115,251,136,136,0.019955,cut
165,317,152,152,0.026173,non
182,317,135,135,0.009984,non
199,307,108,108,0.031689,non
209,526,317,317,0.062665,heavy
335,251,-84,84,0.14653,light
303,317,14,14,0.206984,cut
248,317,69,69,0.015582,non
212,307,95,95,0.02337,non
308,526,218,218,0.01482,non
224,251,27,27,0.057787,heavy
138,317,179,179,0.044255,light
143,317,174,174,0.012707,cut
128,307,179,179,0.17531,cut
183,526,343,343,0.020113,non
104,251,147,147,0.034477,non
107,317,210,210,0.059701,heavy
101,317,216,216,0.013774,light
202,307,105,105,0.018641,non
215,526,311,311,0.020373,non
217,251,34,34,0.123451,heavy
218,317,99,99,0.092611,light
379,317,-62,62,0.010196,cut
283,307,24,24,0.321002,cut
185,526,341,341,0.018128,non
122,251,129,129,0.01881,non
287,317,30,30,0.200321,heavy
255,317,62,62,0.013472,light
202,307,105,105,0.111088,light
242,526,284,284,0.018862,cut
246,251,5,5,0.027224,non
225,317,92,92,0.019194,non
251,317,66,66,0.013687,heavy
210,307,97,97,0.050396,heavy
239,526,287,287,0.107037,light
207,251,44,44,0.044344,cut
243,317,74,74,0.015007,non
243,317,74,74,0.010918,non
