@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-45,50-53'

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute mclcs00 numeric
@attribute mclcs01 numeric
@attribute mclcsLength/2Length/2 numeric
@attribute nmclcs numeric
@attribute classe {non,light,heavy,cut}

@data
217,307,90,90,1,2,0,0.000736,non
208,526,318,318,45,1,1,0.018509,cut
227,251,24,24,4,7,5,0.033979,light
195,317,122,122,1,1,0,0.00364,heavy
192,317,125,125,1,0,0,0.000805,non
318,307,-11,11,1,6,2,0.000502,non
256,526,270,270,3,4,4,0.000899,non
326,251,-75,75,6,4,3,0.030553,cut
219,317,98,98,2,0,3,0.006352,light
238,317,79,79,4,2,2,0.000649,heavy
199,307,108,108,1,4,0,0.003208,heavy
194,526,332,332,1,2,1,0.000794,non
194,251,57,57,5,3,2,0.001663,non
151,317,166,166,26,32,0,0.044206,cut
153,317,164,164,1,3,0,0.000742,light
180,307,127,127,5,0,1,0.127687,cut
81,526,445,445,3,0,0,0.012416,light
174,251,77,77,3,5,1,0.028049,heavy
33,317,284,284,0,2,0,0.000382,non
91,317,226,226,0,0,0,0.000555,non
283,307,24,24,34,41,3,0.066482,light
87,526,439,439,59,0,0,0.076067,heavy
76,251,175,175,1,0,5,0.001887,non
65,317,252,252,1,0,0,0.000777,non
96,317,221,221,0,4,0,0.000526,cut
206,307,101,101,3,5,1,0.000775,non
207,526,319,319,1,3,1,0.001111,heavy
215,251,36,36,6,3,4,0.007412,light
243,317,74,74,3,3,2,0.060028,cut
186,317,131,131,0,1,0,0.000611,non
164,307,143,143,0,0,0,0.000973,non
207,526,319,319,4,3,1,0.000918,non
251,251,0,0,5,2,3,0.016254,heavy
188,317,129,129,2,3,3,0.003289,light
303,317,14,14,4,0,1,0.000375,cut
217,307,90,90,7,3,0,0.003377,light
278,526,248,248,49,0,2,0.01642,cut
118,251,133,133,0,4,1,0.002161,non
147,317,170,170,2,1,1,0.002146,non
206,317,111,111,1,2,1,0.00075,heavy
286,307,21,21,0,2,0,0.00041,non
263,526,263,263,1,6,1,0.004164,heavy
243,251,8,8,26,35,6,0.040988,light
330,317,-13,13,3,1,1,0.044202,cut
211,317,106,106,3,1,0,0.000538,non
258,307,49,49,3,1,1,0.000619,non
217,526,309,309,3,2,3,0.00071,non
201,251,50,50,1,11,4,0.003885,heavy
252,317,65,65,67,41,6,0.056194,light
271,317,46,46,2,4,0,0.000419,cut
206,307,101,101,2,3,2,0.03202,cut
185,526,341,341,5,3,1,0.001028,non
240,251,11,11,6,4,3,0.002009,non
253,317,64,64,6,2,2,0.007793,heavy
204,317,113,113,2,5,0,0.00099,light
352,307,-45,45,7,2,6,0.010077,heavy
160,526,366,366,10,4,0,0.013736,light
115,251,136,136,0,5,0,0.000866,cut
165,317,152,152,1,2,1,0.000688,non
182,317,135,135,1,1,4,0.001733,non
199,307,108,108,8,1,1,0.001048,non
209,526,317,317,2,3,1,0.002329,heavy
335,251,-84,84,9,4,2,0.014569,light
303,317,14,14,70,53,3,0.099989,cut
248,317,69,69,2,1,3,0.000623,non
212,307,95,95,1,0,0,0.000553,non
308,526,218,218,8,4,1,0.000747,non
224,251,27,27,6,1,4,0.002561,heavy
138,317,179,179,1,0,2,0.017922,light
143,317,174,174,2,3,1,0.001412,cut
128,307,179,179,24,1,1,0.15088,cut
183,526,343,343,1,1,2,0.000509,non
104,251,147,147,1,0,0,0.000958,non
107,317,210,210,6,0,0,0.005778,heavy
101,317,216,216,1,0,0,0.001124,light
202,307,105,105,2,1,0,0.00079,non
215,526,311,311,2,3,0,0.000716,non
217,251,34,34,3,16,0,0.016524,heavy
218,317,99,99,13,9,0,0.031965,light
379,317,-62,62,3,3,2,0.001199,cut
283,307,24,24,34,1,3,0.071834,cut
185,526,341,341,1,2,1,0.000658,non
122,251,129,129,1,0,1,0.0016,non
287,317,30,30,11,5,10,0.02428,heavy
255,317,62,62,8,1,0,0.000792,light
202,307,105,105,3,3,2,0.002322,light
242,526,284,284,7,3,1,0.000636,cut
246,251,5,5,4,0,1,0.000794,non
225,317,92,92,5,1,1,0.001136,non
251,317,66,66,3,4,2,0.000616,heavy
210,307,97,97,1,6,1,0.00076,heavy
239,526,287,287,2,1,2,0.035708,light
207,251,44,44,5,2,1,0.029274,cut
243,317,74,74,1,0,5,0.002544,non
243,317,74,74,1,5,2,0.001052,non
