@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-31,38-53'

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute mi1 numeric
@attribute mi2 numeric
@attribute mi3 numeric
@attribute mi4 numeric
@attribute meanMI numeric
@attribute weightedMeanMI numeric
@attribute classe {non,light,heavy,cut}

@data
217,307,90,90,3.399957,3.405895,3.355278,3.423257,3.435721,20.54991,non
208,526,318,318,3.101411,3.087614,3.158002,3.142844,3.0261,18.52733,cut
227,251,24,24,3.588305,3.658951,3.595214,3.662847,3.542705,21.61417,light
195,317,122,122,3.434555,3.375397,3.383416,3.493017,3.194502,19.51486,heavy
192,317,125,125,3.295298,3.295699,3.421771,3.412469,3.125318,19.042223,non
318,307,-11,11,3.479781,3.444285,3.445964,3.359613,3.401453,21.663136,non
256,526,270,270,2.992078,3.085228,3.081105,3.194278,2.998048,18.585163,non
326,251,-75,75,3.407627,3.473165,3.416137,3.614892,3.435107,21.042189,cut
219,317,98,98,3.18765,3.235552,3.34938,3.279893,3.101225,19.024067,light
238,317,79,79,3.397645,3.297536,3.390441,3.263696,3.290319,20.170954,heavy
199,307,108,108,3.531118,3.531117,3.616555,3.548585,3.554828,20.977928,heavy
194,526,332,332,3.063431,3.16192,3.087661,3.156236,3.072905,18.226734,non
194,251,57,57,3.297856,3.468734,3.391236,3.337329,3.354207,19.674997,non
151,317,166,166,3.658663,3.425031,3.478976,3.299471,3.071856,18.804531,cut
153,317,164,164,3.381684,3.401521,3.350135,3.396731,3.097765,18.606346,light
180,307,127,127,3.746584,3.744042,3.610761,3.647312,3.645125,21.2218,cut
81,526,445,445,2.546672,2.584629,2.620516,2.563787,2.536655,12.717847,light
174,251,77,77,3.508458,3.555286,3.587496,3.542085,3.494319,20.213058,heavy
33,317,284,284,2.232866,2.287161,2.228194,2.291208,2.282764,9.380816,non
91,317,226,226,3.081,3.171001,3.100689,3.102156,3.112137,15.952566,non
283,307,24,24,4.373149,4.418961,5.071808,4.698958,3.986283,25.58099,light
87,526,439,439,2.698026,2.697026,2.827145,2.67687,2.737538,14.666036,heavy
