@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-19,31-53-weka.filters.unsupervised.attribute.Remove-R14'

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute rlmMclcs numeric
@attribute rlmNormMclcs numeric
@attribute rlmTotalLength(SO_ou_RLMSO) numeric
@attribute rlmNormTotalLength(SO_ou_RLMSO_div) numeric
@attribute rlmTotalLength(SO_ou_RLMSO)DivWord2Length numeric
@attribute rlmTotalLength(WSO_ou_RLMWSO)Weighted numeric
@attribute rlmTotalLengthWeightedInv numeric
@attribute rlmMaxLengthOccurrences(MO) numeric
@attribute rlmMaxLength(MORL) numeric
@attribute rlmMaxOccurrencesMinLength(MOML) numeric
@attribute classe {non,light,heavy,cut}

@data
217,307,90,90,2,0.00006,591,5.242964,1.925081,613,570,569,2,569,non
208,526,318,318,44,0.017695,5492,275.684264,10.441065,52313,1820,1777,31,1777,cut
227,251,24,24,30,0.015796,2026,72.040929,8.071713,8681,1008,979,16,979,light
195,317,122,122,9,0.00131,905,13.249616,2.85489,1323,735,727,7,727,heavy
192,317,125,125,2,0.000066,617,6.254748,1.946372,623,612,611,2,611,non
318,307,-11,11,2,0.000041,947,9.18617,3.084691,979,916,915,2,915,non
256,526,270,270,4,0.000119,1885,26.387424,3.58365,2012,1783,1780,4,1780,non
326,251,-75,75,48,0.028157,4594,257.92335,18.30279,36563,1605,1558,28,1558,cut
219,317,98,98,12,0.002074,1902,52.109589,6,3885,1293,1282,10,1282,light
238,317,79,79,4,0.000212,799,8.461694,2.520505,833,774,771,3,771,heavy
199,307,108,108,8,0.001048,781,9.984139,2.543974,993,676,669,5,669,heavy
194,526,332,332,3,0.000088,1086,11.55772,2.064639,1122,1053,1051,2,1051,non
194,251,57,57,4,0.000329,712,10.41081,2.836654,777,660,657,3,657,non
151,317,166,166,42,0.036852,2522,132.878267,7.955836,21532,745,704,23,704,cut
153,317,164,164,2,0.000082,469,4.535185,1.479495,477,462,461,2,461,light
180,307,127,127,47,0.039975,2300,95.72928,7.491857,22002,726,680,24,680,cut
