@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-19,31-53-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R1-4,6,8-12,14'

@attribute rlmMclcs numeric
@attribute rlmTotalLength(SO_ou_RLMSO) numeric
@attribute rlmMaxLength(MORL) numeric
@attribute classe {non,other}

@data
2,591,2,non
44,5492,31,other
30,2026,16,other
9,905,7,other
2,617,2,non
2,947,2,non
4,1885,4,non
48,4594,28,other
12,1902,10,other
4,799,3,other
8,781,5,other
3,1086,2,non
4,712,3,non
42,2522,23,other
2,469,2,other
47,2300,24,other
12,848,8,other
21,1165,11,other
2,108,1,non
2,213,2,non
76,9222,53,other
59,2308,30,other
3,348,2,non
3,208,2,non
2,251,2,other
2,557,2,non
5,1565,4,other
8,951,6,other
62,3188,31,other
2,456,2,non
2,472,2,non
3,1565,3,non
7,1285,6,other
10,1277,8,other
2,857,2,other
9,951,7,other
44,3729,29,other
3,480,3,non
7,673,5,non
4,724,2,other
3,700,2,non
11,2546,8,other
36,2262,18,other
62,4380,36,other
2,530,2,non
3,652,2,non
4,1410,3,non
9,733,5,other
27,3056,19,other
4,751,2,other
45,3121,29,other
3,1541,3,non
4,1223,3,non
20,2411,11,other
4,671,3,other
23,2332,16,other
15,1749,10,other
2,253,2,other
4,709,2,non
3,652,2,non
5,703,3,non
9,2037,6,other
11,2033,9,other
92,8666,46,other
3,716,2,non
4,615,2,non
3,1953,2,non
9,998,6,other
18,1017,9,other
4,608,2,other
64,3211,32,other
3,1148,3,non
3,292,3,non
6,785,5,other
3,305,2,other
3,544,2,non
2,1166,2,non
25,1739,13,other
12,2181,10,other
5,2577,5,other
76,8351,49,other
3,1310,2,non
4,379,3,non
44,5024,26,other
4,853,3,other
10,860,6,other
3,1648,3,other
3,751,3,non
4,884,2,non
4,747,2,other
4,594,3,other
64,6860,42,other
39,1806,20,other
5,1962,5,non
3,903,2,non
