@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-37,45-53'

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute wmi0 numeric
@attribute wmi1 numeric
@attribute wmi2 numeric
@attribute wmi3 numeric
@attribute wmi4 numeric
@attribute meanWMI numeric
@attribute weightedMeanWMI numeric
@attribute classe {non,light,heavy,cut}

@data
217,307,90,90,1.740465,1.70792,1.714029,1.692493,1.720327,1.726207,10.325829,non
208,526,318,318,2.085694,1.559229,1.541154,1.579001,1.585766,1.520679,9.717618,cut
227,251,24,24,1.83346,1.833599,1.908828,1.928872,2.108559,1.790623,11.18389,light
195,317,122,122,1.717547,1.720819,1.701069,1.699706,1.759967,1.608001,9.816039,heavy
192,317,125,125,1.65033,1.647649,1.649421,1.720152,1.726151,1.571556,9.563818,non
318,307,-11,11,1.742071,1.757402,1.736677,1.724215,1.683078,1.709314,10.877476,non
256,526,270,270,1.505518,1.499412,1.550575,1.550558,1.595733,1.50816,9.336208,non
326,251,-75,75,1.776197,1.730674,1.752814,1.728443,1.849892,1.749742,10.749845,cut
219,317,98,98,1.614338,1.593825,1.617776,1.682342,1.639738,1.571513,9.596064,light
238,317,79,79,1.714465,1.709729,1.659327,1.709022,1.640038,1.653188,10.141363,heavy
199,307,108,108,1.789483,1.781368,1.771757,1.814773,1.778118,1.789791,10.558706,heavy
194,526,332,332,1.544635,1.535183,1.579346,1.554576,1.578118,1.542656,9.138917,non
194,251,57,57,1.686418,1.667311,1.736989,1.711446,1.675231,1.688942,9.921276,non
151,317,166,166,2.114184,2.352323,1.72871,1.745439,1.659714,1.557879,10.172138,cut
153,317,164,164,1.737416,1.704179,1.706814,1.675067,1.70427,1.556191,9.347965,light
180,307,127,127,1.840817,1.873292,1.886707,1.808624,1.845097,1.843631,10.754372,cut
81,526,445,445,1.278069,1.273336,1.283554,1.319543,1.296911,1.279925,6.392479,light
174,251,77,77,1.749363,1.787655,1.785327,1.797211,1.826149,1.76127,10.235623,heavy
33,317,284,284,1.116433,1.166495,1.143581,1.138057,1.145604,1.153033,4.744145,non
91,317,226,226,1.555,1.5405,1.585501,1.571443,1.56221,1.560526,7.999904,non
283,307,24,24,2.273398,2.646683,2.858163,3.565813,3.181983,2.013202,13.979882,light
87,526,439,439,3.169123,1.349013,1.348513,1.413572,1.33824,1.389157,8.71495,heavy
76,251,175,175,1.412679,1.374067,1.455644,1.369843,1.43301,1.345823,6.851658,non
65,317,252,252,1.399492,1.381165,1.414108,1.407904,1.386338,1.371679,6.629098,non
96,317,221,221,1.495625,1.531071,1.53865,1.501683,1.534321,1.50367,7.82126,cut
206,307,101,101,1.884088,1.845043,1.850595,1.826118,1.965901,1.815457,10.891295,non
207,526,319,319,1.589754,1.609536,1.596472,1.580953,1.576554,1.543373,9.343694,heavy
215,251,36,36,1.812654,1.813374,1.839328,1.910886,1.803334,1.773334,10.763976,light
243,317,74,74,1.640025,1.652155,1.691543,1.693668,1.68485,1.649351,10.12624,cut
186,317,131,131,1.735318,1.750949,1.785525,1.724769,1.753182,1.637203,9.954817,non
164,307,143,143,1.746131,1.750273,1.800687,1.798982,1.85998,1.762892,10.093868,non
207,526,319,319,1.532301,1.464863,1.494021,1.499727,1.473526,1.463919,8.852972,non
251,251,0,0,1.878012,1.814743,1.910513,1.821985,1.808951,1.834859,11.345889,heavy
188,317,129,129,1.697489,1.700929,1.628419,1.618009,1.629334,1.521275,9.368584,light
303,317,14,14,1.800854,1.769113,1.743401,1.784683,1.778323,1.795189,11.293617,cut
